task,expected,actual,group,error,correct,unsound,imprecise,coverage_threshold,coverage,points
ch.ethz.rse.integration.tests.Basic_Test_Safe:START_END_ORDER,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Basic_Test_Safe:AFTER_START,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Basic_Test_Safe:BEFORE_END,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Basic_Test_Unsafe:START_END_ORDER,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Basic_Test_Unsafe:AFTER_START,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Basic_Test_Unsafe:BEFORE_END,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Arith_Mult:START_END_ORDER,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Arith_Mult:AFTER_START,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Arith_Mult_2:START_END_ORDER,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Arith_Mult_2:AFTER_START,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Arith_Nested:START_END_ORDER,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Arith_Nested:AFTER_START,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Arith_Nested_2:START_END_ORDER,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Arith_Nested_2:AFTER_START,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Conditional_1:BEFORE_END,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Conditional_2:BEFORE_END,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Conditional_3:BEFORE_END,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Conditional_4:BEFORE_END,SAFE,UNSAFE,da-ro,False,False,False,True,False,,0
ch.ethz.rse.integration.tests.Test_Before_End_Increment_After_New_1:BEFORE_END,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Increment_After_New_2:BEFORE_END,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Loop_1:BEFORE_END,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Loop_2:BEFORE_END,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Loop_3:BEFORE_END,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Loop_4:BEFORE_END,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Loop_5:BEFORE_END,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Loop_Decrement_1:BEFORE_END,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Loop_Decrement_2:BEFORE_END,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Before_End_Loop_Decrement_3:BEFORE_END,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Bop_Or:START_END_ORDER,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Bop_Or:AFTER_START,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Bop_Or_2:START_END_ORDER,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Bop_Or_2:AFTER_START,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Branch_Limit:AFTER_START,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Eq:START_END_ORDER,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Eq:AFTER_START,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Eq_2:START_END_ORDER,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Eq_2:AFTER_START,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Geq:START_END_ORDER,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Geq:AFTER_START,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Greater:START_END_ORDER,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Greater:AFTER_START,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Greater_2:START_END_ORDER,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Greater_2:AFTER_START,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Leq:START_END_ORDER,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Leq:AFTER_START,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Less:START_END_ORDER,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Less:AFTER_START,SAFE,SAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Less_2:START_END_ORDER,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Less_2:AFTER_START,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Neq:START_END_ORDER,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Comp_Neq:AFTER_START,UNSAFE,UNSAFE,da-ro,False,True,False,False,False,,1
ch.ethz.rse.integration.tests.Test_Increments:START_END_ORDER,SAFE,SAFE,da-ro,False,True,False,False,False,,1
